period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,gross-generation,generation-units,gross-generation-units
2017-12-01,58612,Otoe Solar Power Generation Station 1 LL,SUN,Solar,CA,California,ALL,182.44,182.44,megawatthours,megawatthours
2017-12-01,58612,Otoe Solar Power Generation Station 1 LL,SUN,Solar,CA,California,PV,182.44,182.44,megawatthours,megawatthours
2017-12-01,58615,Indianapolis Motor Speedway Solar PV,SUN,Solar,IN,Indiana,ALL,600.16,603.48,megawatthours,megawatthours
2017-12-01,58615,Indianapolis Motor Speedway Solar PV,SUN,Solar,IN,Indiana,PV,600.16,603.48,megawatthours,megawatthours
2017-12-01,58616,Westlands Solar PV Farm,SUN,Solar,CA,California,ALL,2242.13,2249.79,megawatthours,megawatthours
2017-12-01,58616,Westlands Solar PV Farm,SUN,Solar,CA,California,PV,2242.13,2249.79,megawatthours,megawatthours
2017-12-01,58711,Lost Hills/Blackwell,SUN,Solar,CA,California,ALL,4611.2,4611.2,megawatthours,megawatthours
2017-12-01,58711,Lost Hills/Blackwell,SUN,Solar,CA,California,PV,4611.2,4611.2,megawatthours,megawatthours
2017-12-01,58713,North Star Solar,SUN,Solar,CA,California,ALL,8138.56,8138.56,megawatthours,megawatthours
2017-12-01,58713,North Star Solar,SUN,Solar,CA,California,PV,8138.56,8138.56,megawatthours,megawatthours
2017-12-01,58716,"OCI Alamo 2, LLC",SUN,Solar,TX,Texas,ALL,452.31,454.83,megawatthours,megawatthours
2017-12-01,58716,"OCI Alamo 2, LLC",SUN,Solar,TX,Texas,PV,452.31,454.83,megawatthours,megawatthours
2017-12-01,58717,"OCI Alamo 4, LLC",SUN,Solar,TX,Texas,ALL,3964.87,3964.87,megawatthours,megawatthours
2017-11-01,58483,Tinton Falls Solar Farm,SUN,Solar,NJ,New Jersey,ALL,1583.61,1599.6,megawatthours,megawatthours
2017-11-01,58483,Tinton Falls Solar Farm,SUN,Solar,NJ,New Jersey,PV,1583.61,1599.6,megawatthours,megawatthours
2017-12-01,58822,Millville City Sewer Auth WTP,SUN,Solar,NJ,New Jersey,ALL,80.08,81.71,megawatthours,megawatthours
2017-12-01,58822,Millville City Sewer Auth WTP,SUN,Solar,NJ,New Jersey,PV,80.08,81.71,megawatthours,megawatthours
2017-12-01,58824,Sheldon Solar,SUN,Solar,VT,Vermont,ALL,89.15,89.15,megawatthours,megawatthours
2017-12-01,58824,Sheldon Solar,SUN,Solar,VT,Vermont,PV,89.15,89.15,megawatthours,megawatthours
2017-11-01,58519,Alethea I,SUN,Solar,NJ,New Jersey,PV,226.43,228.78,megawatthours,megawatthours
2017-11-01,58520,Otero Solar,SUN,Solar,NM,New Mexico,ALL,1034.9,1036.34,megawatthours,megawatthours
2017-11-01,58520,Otero Solar,SUN,Solar,NM,New Mexico,PV,1034.9,1036.34,megawatthours,megawatthours
2017-11-01,58521,Manzano Solar,SUN,Solar,NM,New Mexico,ALL,1046.58,1050.85,megawatthours,megawatthours
2017-11-01,58521,Manzano Solar,SUN,Solar,NM,New Mexico,PV,1046.58,1050.85,megawatthours,megawatthours
2017-12-01,58927,Story City Wind Project,WND,Wind,IA,Iowa,ALL,546.21,546.21,megawatthours,megawatthours
2017-12-01,58927,Story City Wind Project,WND,Wind,IA,Iowa,WT,546.21,546.21,megawatthours,megawatthours
2017-12-01,58932,Traer Wind Project,WND,Wind,IA,Iowa,ALL,620.78,620.78,megawatthours,megawatthours
2017-12-01,58932,Traer Wind Project,WND,Wind,IA,Iowa,WT,620.78,620.78,megawatthours,megawatthours
2017-12-01,58934,"Integrys MA Solar, LLC - Ashburnham Site",SUN,Solar,MA,Massachusetts,ALL,151.82,153.06,megawatthours,megawatthours
2017-12-01,58934,"Integrys MA Solar, LLC - Ashburnham Site",SUN,Solar,MA,Massachusetts,PV,151.82,153.06,megawatthours,megawatthours
2017-12-01,58935,Open View Solar Farm,SUN,Solar,VT,Vermont,ALL,108.79,108.79,megawatthours,megawatthours
2017-12-01,57912,Grand Ridge Solar Farm,SUN,Solar,IL,Illinois,ALL,1699.0,1699.0,megawatthours,megawatthours
2017-12-01,57912,Grand Ridge Solar Farm,SUN,Solar,IL,Illinois,PV,1699.0,1699.0,megawatthours,megawatthours
2017-12-01,57913,Tule Wind LLC,WND,Wind,CA,California,ALL,6984.0,6984.0,megawatthours,megawatthours
2017-12-01,57913,Tule Wind LLC,WND,Wind,CA,California,WT,6984.0,6984.0,megawatthours,megawatthours
2017-12-01,58618,Butler Plaza,SUN,Solar,FL,Florida,ALL,116.65,116.65,megawatthours,megawatthours
2017-12-01,58618,Butler Plaza,SUN,Solar,FL,Florida,PV,116.65,116.65,megawatthours,megawatthours
2017-12-01,58620,Canton Mountain Wind,WND,Wind,ME,Maine,ALL,5332.27,5332.27,megawatthours,megawatthours
2017-12-01,58620,Canton Mountain Wind,WND,Wind,ME,Maine,WT,5332.27,5332.27,megawatthours,megawatthours
2017-12-01,58621,Sol Orchard El Centro PV,SUN,Solar,CA,California,ALL,2540.11,2540.11,megawatthours,megawatthours
2017-12-01,58621,Sol Orchard El Centro PV,SUN,Solar,CA,California,PV,2540.11,2540.11,megawatthours,megawatthours
2017-12-01,58717,"OCI Alamo 4, LLC",SUN,Solar,TX,Texas,PV,3964.87,3964.87,megawatthours,megawatthours
2017-12-01,58718,Orion Solar I,SUN,Solar,CA,California,ALL,1457.36,1457.36,megawatthours,megawatthours
2017-12-01,58718,Orion Solar I,SUN,Solar,CA,California,PV,1457.36,1457.36,megawatthours,megawatthours
2017-12-01,58719,Brookfield,WND,Wind,MI,Michigan,ALL,18015.36,18284.88,megawatthours,megawatthours
