period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,generation-units
2019-11,57580,Broadridge Cogen,SUN,Solar,CA,California,ALL,78.82,megawatthours
2019-11,57580,Broadridge Cogen,SUN,Solar,CA,California,PV,78.82,megawatthours
2021-02,58169,CSUF Trigeneration,SUN,Solar,CA,California,ALL,503.0,megawatthours
2021-02,58169,CSUF Trigeneration,SUN,Solar,CA,California,PV,503.0,megawatthours
2019-11,62242,County of San Diego SBRC,SUN,Solar,CA,California,ALL,130.02,megawatthours
2019-11,62242,County of San Diego SBRC,SUN,Solar,CA,California,PV,130.02,megawatthours
2019-11,62246,Target Woodland Solar Project,SUN,Solar,CA,California,ALL,187.09,megawatthours
2019-11,62246,Target Woodland Solar Project,SUN,Solar,CA,California,PV,187.09,megawatthours
2019-10,56917,"Imperial Valley Solar, LLC",SUN,Solar,CA,California,ALL,23733.41,megawatthours
2019-10,56917,"Imperial Valley Solar, LLC",SUN,Solar,CA,California,PV,23733.41,megawatthours
2019-10,57004,SunEdison Walgreens Moreno Valley,SUN,Solar,CA,California,PV,76.93,megawatthours
2019-10,57005,Mariani Packing Vacaville Solar,SUN,Solar,CA,California,ALL,152.04,megawatthours
2019-10,57005,Mariani Packing Vacaville Solar,SUN,Solar,CA,California,PV,152.04,megawatthours
2019-10,57006,Walgreens Woodland Distribution Center,SUN,Solar,CA,California,ALL,136.08,megawatthours
2019-10,57006,Walgreens Woodland Distribution Center,SUN,Solar,CA,California,PV,136.08,megawatthours
2019-10,57007,SunEdison Ironwood State Prison,SUN,Solar,CA,California,ALL,156.03,megawatthours
2019-10,57007,SunEdison Ironwood State Prison,SUN,Solar,CA,California,PV,156.03,megawatthours
2019-10,57008,SunEdison Procter & Gamble Oxnard,SUN,Solar,CA,California,ALL,146.66,megawatthours
2019-10,57008,SunEdison Procter & Gamble Oxnard,SUN,Solar,CA,California,PV,146.66,megawatthours
2019-10,57009,Kohls San Bernardino Solar Facility,SUN,Solar,CA,California,ALL,118.65,megawatthours
2019-10,57009,Kohls San Bernardino Solar Facility,SUN,Solar,CA,California,PV,118.65,megawatthours
2019-10,57010,SunEdison Anheuser Busch Fairfield,SUN,Solar,CA,California,ALL,137.21,megawatthours
2019-10,57010,SunEdison Anheuser Busch Fairfield,SUN,Solar,CA,California,PV,137.21,megawatthours
2019-10,57011,Chuckawalla Valley State Prison,SUN,Solar,CA,California,ALL,156.72,megawatthours
2019-10,57011,Chuckawalla Valley State Prison,SUN,Solar,CA,California,PV,156.72,megawatthours
2019-10,57012,SunEdison Walmart Apple Valley DC,SUN,Solar,CA,California,ALL,193.93,megawatthours
2019-10,57012,SunEdison Walmart Apple Valley DC,SUN,Solar,CA,California,PV,193.93,megawatthours
2019-10,56768,CalRenew-1,SUN,Solar,CA,California,ALL,777.46,megawatthours
2019-10,56768,CalRenew-1,SUN,Solar,CA,California,PV,777.46,megawatthours
2019-10,58244,West Valley High School Solar,SUN,Solar,CA,California,ALL,124.63,megawatthours
2019-10,58244,West Valley High School Solar,SUN,Solar,CA,California,PV,124.63,megawatthours
2019-10,58249,VA Sepulveda Ambulatory Care Center,SUN,Solar,CA,California,ALL,423.16,megawatthours
2019-10,58249,VA Sepulveda Ambulatory Care Center,SUN,Solar,CA,California,PV,423.16,megawatthours
2019-10,58253,CBS Television City,SUN,Solar,CA,California,ALL,140.24,megawatthours
