period,respondent,respondent-name,fueltype,type-name,value,value-units
2022-10-16T00,AVA,Avista Corporation,SUN,Solar,8,megawatthours
2022-10-16T01,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T02,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T03,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T04,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T05,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T06,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T07,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T08,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T09,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T10,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T11,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T12,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T13,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T14,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-16T15,AVA,Avista Corporation,SUN,Solar,1,megawatthours
2022-10-16T16,AVA,Avista Corporation,SUN,Solar,3,megawatthours
2022-10-16T17,AVA,Avista Corporation,SUN,Solar,4,megawatthours
2022-10-16T18,AVA,Avista Corporation,SUN,Solar,4,megawatthours
2022-10-16T19,AVA,Avista Corporation,SUN,Solar,5,megawatthours
2022-10-16T20,AVA,Avista Corporation,SUN,Solar,7,megawatthours
2022-10-16T21,AVA,Avista Corporation,SUN,Solar,8,megawatthours
2022-10-16T22,AVA,Avista Corporation,SUN,Solar,10,megawatthours
2022-10-16T23,AVA,Avista Corporation,SUN,Solar,11,megawatthours
2022-10-17T00,AVA,Avista Corporation,SUN,Solar,7,megawatthours
2022-10-17T01,AVA,Avista Corporation,SUN,Solar,1,megawatthours
2022-10-17T02,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T03,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T04,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T05,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T06,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T07,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T08,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T09,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T10,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T11,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T12,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T13,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T14,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T15,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-17T16,AVA,Avista Corporation,SUN,Solar,3,megawatthours
2022-10-17T17,AVA,Avista Corporation,SUN,Solar,4,megawatthours
2022-10-17T18,AVA,Avista Corporation,SUN,Solar,5,megawatthours
2022-10-17T19,AVA,Avista Corporation,SUN,Solar,4,megawatthours
2022-10-17T20,AVA,Avista Corporation,SUN,Solar,7,megawatthours
2022-10-17T21,AVA,Avista Corporation,SUN,Solar,9,megawatthours
2022-10-17T22,AVA,Avista Corporation,SUN,Solar,11,megawatthours
2022-10-17T23,AVA,Avista Corporation,SUN,Solar,13,megawatthours
2022-10-18T00,AVA,Avista Corporation,SUN,Solar,10,megawatthours
2022-10-18T01,AVA,Avista Corporation,SUN,Solar,1,megawatthours
2022-10-18T02,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T03,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T04,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T05,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T06,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T07,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T08,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T09,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T10,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T11,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T12,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T13,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T14,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T15,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-18T16,AVA,Avista Corporation,SUN,Solar,3,megawatthours
2022-10-18T17,AVA,Avista Corporation,SUN,Solar,4,megawatthours
2022-10-18T18,AVA,Avista Corporation,SUN,Solar,11,megawatthours
2022-10-18T19,AVA,Avista Corporation,SUN,Solar,12,megawatthours
2022-10-18T20,AVA,Avista Corporation,SUN,Solar,11,megawatthours
2022-10-18T21,AVA,Avista Corporation,SUN,Solar,12,megawatthours
2022-10-18T22,AVA,Avista Corporation,SUN,Solar,12,megawatthours
2022-10-18T23,AVA,Avista Corporation,SUN,Solar,13,megawatthours
2022-10-19T00,AVA,Avista Corporation,SUN,Solar,10,megawatthours
2022-10-19T01,AVA,Avista Corporation,SUN,Solar,1,megawatthours
2022-10-19T02,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T03,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T04,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T05,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T06,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T07,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T08,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T09,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T10,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T11,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T12,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T13,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T14,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T15,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-19T16,AVA,Avista Corporation,SUN,Solar,6,megawatthours
2022-10-19T17,AVA,Avista Corporation,SUN,Solar,12,megawatthours
2022-10-19T18,AVA,Avista Corporation,SUN,Solar,13,megawatthours
2022-10-19T19,AVA,Avista Corporation,SUN,Solar,12,megawatthours
2022-10-19T20,AVA,Avista Corporation,SUN,Solar,11,megawatthours
2022-10-19T21,AVA,Avista Corporation,SUN,Solar,12,megawatthours
2022-10-19T22,AVA,Avista Corporation,SUN,Solar,12,megawatthours
2022-10-19T23,AVA,Avista Corporation,SUN,Solar,13,megawatthours
2022-10-20T00,AVA,Avista Corporation,SUN,Solar,9,megawatthours
2022-10-20T01,AVA,Avista Corporation,SUN,Solar,1,megawatthours
2022-10-20T02,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T03,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T04,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T05,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T06,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T07,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T08,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T09,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T10,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T11,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T12,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T13,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T14,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T15,AVA,Avista Corporation,SUN,Solar,0,megawatthours
2022-10-20T16,AVA,Avista Corporation,SUN,Solar,4,megawatthours
2022-10-20T17,AVA,Avista Corporation,SUN,Solar,4,megawatthours
2022-10-20T18,AVA,Avista Corporation,SUN,Solar,9,megawatthours
2022-10-20T19,AVA,Avista Corporation,SUN,Solar,10,megawatthours
2022-10-20T20,AVA,Avista Corporation,SUN,Solar,6,megawatthours
