period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,value,value-units
2022-10-27,CPLW,Duke Energy Progress West,SUN,Solar,Eastern,Eastern,4,megawatthours
2022-10-26,FMPP,Florida Municipal Power Pool,SUN,Solar,Arizona,Arizona,1202,megawatthours
2022-10-27,ERCO,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Eastern,Eastern,49455,megawatthours
2022-10-26,FMPP,Florida Municipal Power Pool,SUN,Solar,Mountain,Mountain,1202,megawatthours
2022-10-27,NWMT,NorthWestern Corporation,SUN,Solar,Central,Central,53,megawatthours
2022-10-26,MIDA,Mid-Atlantic,SUN,Solar,Pacific,Pacific,6241,megawatthours
2022-10-26,NY,New York,SUN,Solar,Pacific,Pacific,0,megawatthours
2022-10-27,WACM,Western Area Power Administration - Rocky Mountain Region,SUN,Solar,Pacific,Pacific,693,megawatthours
2022-10-27,TEC,Tampa Electric Company,SUN,Solar,Eastern,Eastern,3116,megawatthours
2022-10-26,DUK,Duke Energy Carolinas,SUN,Solar,Arizona,Arizona,2547,megawatthours
2022-10-27,WALC,Western Area Power Administration - Desert Southwest Region,SUN,Solar,Mountain,Mountain,1640,megawatthours
2022-10-26,NE,New England,SUN,Solar,Arizona,Arizona,695,megawatthours
2022-10-27,PACE,PacifiCorp East,SUN,Solar,Eastern,Eastern,10540,megawatthours
2022-10-27,WACM,Western Area Power Administration - Rocky Mountain Region,SUN,Solar,Arizona,Arizona,693,megawatthours
2022-10-23,LDWP,Los Angeles Department of Water and Power,SUN,Solar,Central,Central,7930,megawatthours
2022-10-23,TEN,Tennessee,SUN,Solar,Central,Central,3943,megawatthours
2022-10-23,EPE,El Paso Electric Company,SUN,Solar,Central,Central,484,megawatthours
2022-10-23,BANC,Balancing Authority of Northern California,SUN,Solar,Eastern,Eastern,1145,megawatthours
2022-10-23,PACE,PacifiCorp East,SUN,Solar,Eastern,Eastern,5095,megawatthours
2022-10-23,SOCO,"Southern Company Services, Inc. - Trans",SUN,Solar,Eastern,Eastern,9910,megawatthours
2022-10-23,PSEI,"Puget Sound Energy, Inc.",SUN,Solar,Eastern,Eastern,50,megawatthours
2022-10-23,AZPS,Arizona Public Service Company,SUN,Solar,Mountain,Mountain,4687,megawatthours
2022-10-23,DUK,Duke Energy Carolinas,SUN,Solar,Eastern,Eastern,6563,megawatthours
2022-10-23,PNM,Public Service Company of New Mexico,SUN,Solar,Central,Central,2209,megawatthours
2022-10-23,WACM,Western Area Power Administration - Rocky Mountain Region,SUN,Solar,Arizona,Arizona,962,megawatthours
2022-10-23,NYIS,New York Independent System Operator,SUN,Solar,Eastern,Eastern,0,megawatthours
2022-10-23,IID,Imperial Irrigation District,SUN,Solar,Arizona,Arizona,3789,megawatthours
2022-10-23,PACW,PacifiCorp West,SUN,Solar,Central,Central,2194,megawatthours
2022-10-23,MIDA,Mid-Atlantic,SUN,Solar,Eastern,Eastern,9479,megawatthours
2022-10-26,CENT,Central,SUN,Solar,Arizona,Arizona,1213,megawatthours
2022-10-27,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,1278,megawatthours
2022-10-26,NW,Northwest,SUN,Solar,Arizona,Arizona,32412,megawatthours
2022-10-27,IPCO,Idaho Power Company,SUN,Solar,Arizona,Arizona,1488,megawatthours
2022-10-26,TAL,City of Tallahassee,SUN,Solar,Arizona,Arizona,416,megawatthours
2022-10-27,CISO,California Independent System Operator,SUN,Solar,Arizona,Arizona,93936,megawatthours
2022-10-27,SRP,Salt River Project Agricultural Improvement and Power District,SUN,Solar,Eastern,Eastern,3229,megawatthours
2022-10-26,SC,South Carolina Public Service Authority,SUN,Solar,Mountain,Mountain,212,megawatthours
2022-10-26,SE,Southeast,SUN,Solar,Arizona,Arizona,9188,megawatthours
2022-10-27,LDWP,Los Angeles Department of Water and Power,SUN,Solar,Mountain,Mountain,7835,megawatthours
2022-10-27,SRP,Salt River Project Agricultural Improvement and Power District,SUN,Solar,Central,Central,3229,megawatthours
2022-10-26,US48,United States Lower 48,SUN,Solar,Arizona,Arizona,303038,megawatthours
2022-10-27,SRP,Salt River Project Agricultural Improvement and Power District,SUN,Solar,Pacific,Pacific,3229,megawatthours
2022-10-26,FPL,Florida Power & Light Co.,SUN,Solar,Central,Central,22649,megawatthours
