period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,value,value-units
2019-01-01,TEX,Texas,SUN,Solar,Arizona,Arizona,1179,megawatthours
2019-01-01,TEX,Texas,SUN,Solar,Central,Central,1179,megawatthours
2019-01-01,TEX,Texas,SUN,Solar,Eastern,Eastern,1179,megawatthours
2019-01-01,TEX,Texas,SUN,Solar,Mountain,Mountain,1179,megawatthours
2019-01-01,TEX,Texas,SUN,Solar,Pacific,Pacific,1179,megawatthours
2019-01-02,TEX,Texas,SUN,Solar,Arizona,Arizona,964,megawatthours
2019-01-02,TEX,Texas,SUN,Solar,Central,Central,964,megawatthours
2019-01-02,TEX,Texas,SUN,Solar,Eastern,Eastern,964,megawatthours
2019-01-02,TEX,Texas,SUN,Solar,Mountain,Mountain,964,megawatthours
2019-01-02,TEX,Texas,SUN,Solar,Pacific,Pacific,964,megawatthours
2019-01-03,TEX,Texas,SUN,Solar,Arizona,Arizona,8931,megawatthours
2019-01-03,TEX,Texas,SUN,Solar,Central,Central,8931,megawatthours
2019-01-03,TEX,Texas,SUN,Solar,Eastern,Eastern,8931,megawatthours
2019-01-03,TEX,Texas,SUN,Solar,Mountain,Mountain,8931,megawatthours
2019-01-03,TEX,Texas,SUN,Solar,Pacific,Pacific,8931,megawatthours
2019-01-04,TEX,Texas,SUN,Solar,Arizona,Arizona,9937,megawatthours
2019-01-04,TEX,Texas,SUN,Solar,Central,Central,9937,megawatthours
2019-01-04,TEX,Texas,SUN,Solar,Eastern,Eastern,9937,megawatthours
2019-01-04,TEX,Texas,SUN,Solar,Mountain,Mountain,9937,megawatthours
2019-01-04,TEX,Texas,SUN,Solar,Pacific,Pacific,9937,megawatthours
2019-01-05,TEX,Texas,SUN,Solar,Arizona,Arizona,8928,megawatthours
2019-01-05,TEX,Texas,SUN,Solar,Central,Central,8928,megawatthours
2019-01-05,TEX,Texas,SUN,Solar,Eastern,Eastern,8928,megawatthours
2019-01-05,TEX,Texas,SUN,Solar,Mountain,Mountain,8928,megawatthours
2019-01-05,TEX,Texas,SUN,Solar,Pacific,Pacific,8928,megawatthours
2019-01-06,TEX,Texas,SUN,Solar,Arizona,Arizona,3463,megawatthours
2019-01-06,TEX,Texas,SUN,Solar,Central,Central,3463,megawatthours
2019-01-06,TEX,Texas,SUN,Solar,Eastern,Eastern,3463,megawatthours
2019-01-06,TEX,Texas,SUN,Solar,Mountain,Mountain,3463,megawatthours
2019-01-06,TEX,Texas,SUN,Solar,Pacific,Pacific,3463,megawatthours
2019-01-07,TEX,Texas,SUN,Solar,Arizona,Arizona,8306,megawatthours
2019-01-07,TEX,Texas,SUN,Solar,Central,Central,8306,megawatthours
2019-01-07,TEX,Texas,SUN,Solar,Eastern,Eastern,8306,megawatthours
2019-01-07,TEX,Texas,SUN,Solar,Mountain,Mountain,8306,megawatthours
2019-01-07,TEX,Texas,SUN,Solar,Pacific,Pacific,8306,megawatthours
2019-01-08,TEX,Texas,SUN,Solar,Arizona,Arizona,6031,megawatthours
2019-01-08,TEX,Texas,SUN,Solar,Central,Central,6031,megawatthours
2019-01-08,TEX,Texas,SUN,Solar,Eastern,Eastern,6031,megawatthours
2019-01-08,TEX,Texas,SUN,Solar,Mountain,Mountain,6031,megawatthours
2019-01-08,TEX,Texas,SUN,Solar,Pacific,Pacific,6031,megawatthours
2019-01-09,TEX,Texas,SUN,Solar,Arizona,Arizona,3948,megawatthours
2019-01-09,TEX,Texas,SUN,Solar,Central,Central,3948,megawatthours
2019-01-09,TEX,Texas,SUN,Solar,Eastern,Eastern,3948,megawatthours
2019-01-09,TEX,Texas,SUN,Solar,Mountain,Mountain,3948,megawatthours
2019-01-09,TEX,Texas,SUN,Solar,Pacific,Pacific,3948,megawatthours
2019-01-10,TEX,Texas,SUN,Solar,Arizona,Arizona,6408,megawatthours
2019-01-10,TEX,Texas,SUN,Solar,Central,Central,6408,megawatthours
2019-01-10,TEX,Texas,SUN,Solar,Eastern,Eastern,6408,megawatthours
2019-01-10,TEX,Texas,SUN,Solar,Mountain,Mountain,6408,megawatthours
2019-01-10,TEX,Texas,SUN,Solar,Pacific,Pacific,6408,megawatthours
2019-01-11,TEX,Texas,SUN,Solar,Arizona,Arizona,3092,megawatthours
2019-01-11,TEX,Texas,SUN,Solar,Central,Central,3092,megawatthours
2019-01-11,TEX,Texas,SUN,Solar,Eastern,Eastern,3092,megawatthours
2019-01-11,TEX,Texas,SUN,Solar,Mountain,Mountain,3092,megawatthours
2019-01-11,TEX,Texas,SUN,Solar,Pacific,Pacific,3092,megawatthours
2019-01-12,TEX,Texas,SUN,Solar,Arizona,Arizona,8829,megawatthours
2019-01-12,TEX,Texas,SUN,Solar,Central,Central,8829,megawatthours
2019-01-12,TEX,Texas,SUN,Solar,Eastern,Eastern,8829,megawatthours
2019-01-12,TEX,Texas,SUN,Solar,Mountain,Mountain,8829,megawatthours
2019-01-12,TEX,Texas,SUN,Solar,Pacific,Pacific,8829,megawatthours
