DATE,AWND,STATION,TMAX,TAVG,TMIN,PRCP
2019-01-01,8.28,USW00012918,65,53,43,0.00
2019-01-02,12.08,USW00012918,58,54,51,1.43
2019-01-03,10.51,USW00012918,57,52,39,0.18
2019-01-04,6.71,USW00012918,62,46,37,0.00
2019-01-05,3.58,USW00012918,71,53,39,0.00
2019-01-06,7.16,USW00012918,73,59,48,0.00
2019-01-07,7.61,USW00012918,75,65,59,0.00
2019-01-08,4.92,USW00012918,78,66,57,0.00
2019-01-09,12.30,USW00012918,64,62,48,0.00
2019-01-10,4.92,USW00012918,62,53,44,0.00
2019-01-11,7.16,USW00012918,68,55,46,0.00
2019-01-12,12.30,USW00012918,67,63,48,0.54
2019-01-13,9.84,USW00012918,59,50,41,0.00
2019-01-14,7.61,USW00012918,56,47,39,0.00
2019-01-15,4.70,USW00012918,54,49,45,0.00
2019-01-16,6.93,USW00012918,62,55,51,0.09
2019-01-17,8.50,USW00012918,69,63,56,0.01
2019-01-18,8.95,USW00012918,71,62,55,0.07
2019-01-19,20.80,USW00012918,71,60,40,0.36
2019-01-20,8.72,USW00012918,53,42,33,0.00
2019-01-21,7.38,USW00012918,64,48,37,0.00
2019-01-22,12.30,USW00012918,74,65,60,0.00
2019-01-23,14.32,USW00012918,67,50,38,0.91
2019-01-24,3.80,USW00012918,58,44,32,0.00
2019-01-25,4.92,USW00012918,60,48,39,0.00
2019-01-26,5.37,USW00012918,64,53,44,0.00
2019-01-27,5.37,USW00012918,66,57,49,0.00
2019-01-28,9.40,USW00012918,72,57,47,0.15
2019-01-29,14.76,USW00012918,52,49,38,0.01
2019-01-30,7.61,USW00012918,52,47,42,0.00
2019-01-31,9.62,USW00012918,58,53,49,0.41
2019-02-01,7.38,USW00012918,65,59,57,0.08
2019-02-02,7.38,USW00012918,63,60,58,0.06
2019-02-03,6.26,USW00012918,71,62,59,0.20
2019-02-04,5.37,USW00012918,77,69,66,0.00
2019-02-05,6.93,USW00012918,77,70,67,0.00
2019-02-06,11.18,USW00012918,80,73,69,0.00
2019-02-07,14.76,USW00012918,76,69,47,0.06
2019-02-08,17.00,USW00012918,47,44,38,0.00
2019-02-09,10.51,USW00012918,46,41,38,0.00
2019-02-10,8.50,USW00012918,66,53,46,0.00
2019-02-11,9.17,USW00012918,74,66,61,0.38
2019-02-12,12.97,USW00012918,67,65,49,0.03
2019-02-13,6.04,USW00012918,64,53,41,0.00
2019-02-14,9.40,USW00012918,76,60,51,0.00
2019-02-15,10.29,USW00012918,76,66,58,0.00
2019-02-16,4.92,USW00012918,70,68,61,0.01
2019-02-17,12.75,USW00012918,71,65,50,0.03
2019-02-18,16.11,USW00012918,66,55,47,0.00
2019-02-19,11.18,USW00012918,53,51,47,0.09
2019-02-20,10.07,USW00012918,66,52,46,0.02
