Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,period
2019,1,1,0,30,0,0,0,1.1,6.9,173.16,1/1/2019 0:00:00
2019,1,1,1,30,0,0,0,1.2000000000000002,6.4,163.94,1/1/2019 1:00:00
2019,1,1,2,30,0,0,0,1.3,6.300000000000001,151.27,1/1/2019 2:00:00
2019,1,1,3,30,0,0,0,1.4,6.5,138.27,1/1/2019 3:00:00
2019,1,1,4,30,0,0,0,1.7000000000000002,6.7,125.31,1/1/2019 4:00:00
2019,1,1,5,30,0,0,0,2.0,7.0,112.56,1/1/2019 5:00:00
2019,1,1,6,30,0,0,0,2.2,7.300000000000001,100.15,1/1/2019 6:00:00
2019,1,1,7,30,21,17,119,2.5,8.1,87.98,1/1/2019 7:00:00
2019,1,1,8,30,150,73,346,2.8000000000000003,9.9,77.17,1/1/2019 8:00:00
2019,1,1,9,30,303,121,473,3.1,12.4,67.41,1/1/2019 9:00:00
2019,1,1,10,30,454,136,626,3.4000000000000004,14.7,59.52,1/1/2019 10:00:00
2019,1,1,11,30,441,237,350,3.3000000000000003,16.2,54.35,1/1/2019 11:00:00
2019,1,1,12,30,554,175,626,3.0,16.8,52.73,1/1/2019 12:00:00
2019,1,1,13,30,379,258,211,2.8000000000000003,16.8,54.97,1/1/2019 13:00:00
2019,1,1,14,30,259,210,100,2.6,16.5,60.65,1/1/2019 14:00:00
2019,1,1,15,30,154,132,61,2.1,15.6,68.9,1/1/2019 15:00:00
2019,1,1,16,30,35,35,0,1.7000000000000002,14.3,78.9,1/1/2019 16:00:00
2019,1,1,17,30,4,4,11,1.6,13.5,89.67,1/1/2019 17:00:00
2019,1,1,18,30,0,0,0,1.9,12.9,102.15,1/1/2019 18:00:00
2019,1,1,19,30,0,0,0,2.0,12.5,114.62,1/1/2019 19:00:00
2019,1,1,20,30,0,0,0,2.1,12.2,127.42,1/1/2019 20:00:00
2019,1,1,21,30,0,0,0,2.2,11.9,140.4,1/1/2019 21:00:00
2019,1,1,22,30,0,0,0,2.3000000000000003,11.6,153.38,1/1/2019 22:00:00
2019,1,1,23,30,0,0,0,2.4000000000000004,11.4,165.88,1/1/2019 23:00:00
2019,1,2,0,30,0,0,0,2.6,11.2,173.09,1/2/2019 0:00:00
2019,1,2,1,30,0,0,0,2.7,11.2,164.0,1/2/2019 1:00:00
2019,1,2,2,30,0,0,0,2.7,11.1,151.34,1/2/2019 2:00:00
2019,1,2,3,30,0,0,0,2.5,11.0,138.34,1/2/2019 3:00:00
2019,1,2,4,30,0,0,0,2.6,10.8,125.38,1/2/2019 4:00:00
2019,1,2,5,30,0,0,0,2.8000000000000003,10.6,112.62,1/2/2019 5:00:00
2019,1,2,6,30,0,0,0,2.9000000000000004,10.5,100.21,1/2/2019 6:00:00
